Type	Engines	Range	Seats	Cruise Speed	Historic	Name	Family	Engine Type	Fuel Flow (lb/hr/eng)	Base Fuel (lb/hr/eng)	Taxi Fuel (lb/hr/eng)	P Tanks	P Pct	S Tanks	S Pct	O Tanks	MGW (lbs)	MZFW (lbs)	MTOW (lbs)	MLW (lbs)	TO Runway Length (ft)	Landing Runway Length (ft)
ERJ-190	2	2817	94	450	False	Embraer ERJ-190	B737	GE CF34-10E	2100	3000	1500	Left Main,Right Main	95	Center	0	    	114552	90169	114200	97003	6890	4081
ERJ-195	2	2650	106	450	False	Embraer ERJ-195	B737	GE CF34-10E	2100	3000	1500	Left Main,Right Main	95	Center	0	    	115631	93917	115300	100972	4698	4183
F100	2	1970	107	440	True	Fokker F100	CRJ	RR Tay Mk650-15	2565	500	400	Left Main,Right Main	95	Center	0	    	101000	90997	100990	87986	5970	4429
F27	2	1005	43	250	True	Fokker F27	E120	Rolls Royce DART RDH7	500	200	25	Left Main,Right Main	100	    	0	    	44996	43696	44996	44900	3000	3000
F50	2	1367	56	272	True	Fokker F-50	CRJ	PW127B	1000	1000	500	Left Main,Right Main	90	Center	0	    	46000	41665	45856	44160	3400	3600
F70	2	1250	70	440	False	Fokker F70	CRJ	RR Tay Mk650-15	2500	3000	1000	Left Main,Right Main	95	Center	0	    	85000	74000	84000	79000	1300	1210
JS32	2	977	19	220	True	BAe Jetstream 32	E120	AlliedSignal TPE-331-12	400	1000	100	Left Main,Right Main	100	    	0	    	16314	14330	16204	15609	2000	1700
JS41	2	1000	29	290	True	BAe Jetstream 41	E120	AlliedSignal TPE331-14GR/HR turb	500	1200	110	Left Main,Right Main	100	    	0	    	24110	21400	24000	23300	4700	3200
L-10	2	800	10	190	True	Lockheed L-10A	DC3	2X P&W R-985 Wasp SB's	300	240	10	Left Main,Right Main	99	    	0	    	10800	8900	10800	10000	2500	2500
L-100	4	5000	0	300	True	Lockheed L-100	DC6	Allison T-56-A-7A	1120	2000	600	Left Main,Right Main	100	    	0	    	174000	0	174000	170000	0	0
L-1011-100	3	4574	253	460	True	Lockheed L-1011-100	MD11	RR RB211-524	6325	5000	2200	Center,Left Main,Left Aux,Right Main,Right Aux	95	Center	95	    	437090	283125	430000	369000	0	0
L-1011-500	3	7077	234	460	True	Lockheed L-1011-500	MD11	RR RB211-524	6325	5000	2200	Center,Left Main,Left Aux,Right Main,Right Aux	95	Center	95	    	553866	340255	510000	368000	5000	3500
L-18	2	1231	18	195	True	Lockheed L-18 Lodestar	DC3	2X Wright R-1830	300	450	100	Left Main,Right Main	99	Left Aux,Right Aux	0	    	17500	15700	17500	17500	3000	3000
L-188 Electra	4	2200	98	324	True	Lockheed L-188 Electra	DC4	Allison 501 D-13 Turboprop	697	1000	300	Center,Left Main,Right Main	100	    	0	    	119000	92340	113000	98100	5700	3700
Martin 4-0-4	2	1080	40	250	True	Martin 4-0-4	DC6	Pratt & Whitney R-2800-CB16	1000	1000	100	Left Main,Right Main	100	    	100	    	44900	6500	44900	43000	1980	1750
MD-11	3	7710	293	475	False	McDonnell-Douglas MD-11	MD11	GE CF6-80E	5575	6000	2500	Left Main,Left Aux,Right Main,Right Aux	90	Center	0	Center 2	633500	461300	630500	491500	7500	6000
MD-88	2	2400	149	440	False	McDonnell-Douglas MD-88	DC9	P&W JT8D-217	3100	3500	1500	Center,Left Main,Right Main	100	    	0	    	161000	122000	149500	139500	4200	3500
MD-90	2	2400	160	440	False	McDonnell-Douglas MD-90	DC9	IAE V2525-D5	2400	4000	1500	Center,Left Main,Right Main	100	    	0	    	157000	132000	157000	142000	4000	3600
PA-31	2	1162	6	230	True	Piper PA-31 310	E120	Lycoming TIO-540-A	185	200	20	Left Main,Right Main	98	Left Aux,Right Aux	0	    	7045	6000	7000	7000	2290	1818
S2000	2	1000	54	350	True	S2000	E120	Rolls-Royce Allison AE-2100A	882	2000	150	Left Main,Right Main	100	    	0	    	50704	20000	50704	47400	1300	1240
S-307	4	2390	33	230	True	Boeing S-307 Stratoliner	DC6	Wright GR-1820 radial engines	220	2000	100	Left Main,Right Main	100	Left Aux,Right Aux	0	    	45000	34800	45000	45000	3000	3000
S340	2	1075	34	400	False	SAAB S-340	E120	GE CT7-9B	400	900	25	Center	0	    	0	    	29000	26500	29000	28500	4299	1030
SA227	2	1000	19	270	True	Fairchild SA227 Metro	E120	Garrett AiResearch TPE-331	500	900	25	Left Main,Right Main	100	    	0	    	16550	12500	16000	14000	0	0
SD-360	2	670	36	350	False	Shorts SD-360	DC3	PT6A-67R	1000	2500	700	Left Main,Right Main	90	Center	0	    	27000	27000	26000	22000	1850	1330
Super Connie	4	4718	95	270	True	Super Constellation	DC6	Wright R-3350-DA-3	700	1600	600	Center 2,Center 3,Left Main,Right Main,External,External 2	90	Center,Left Tip,Right Tip	90	    	141000	104200	137500	113000	3000	3000
