IATA,ICAO,Name,Latitude,Longitude,UTC Offset (s),Max Runway Length (ft),Airlines
BOO,ENBO,Bodø Norway,67.2692,14.3653,3600,11103,
OSY,ENNM,Namsos Norway,64.4719,11.5783,3600,2741,
CZX,ZSCG,Changzhou China,31.9181,119.777,28800,11155,
KDI,WAWW,Kendari Indonesia,-4.0817,122.418,28800,6890,
YAM,CYAM,Sault Ste. Marie ON Canada,46.485,-84.5094,-21600,6144,NCA
AAL,EKYT,Aalborg Denmark,57.0928,9.8489,3600,8689,KL
AAR,EKAH,Aarhus Denmark,56.3,10.6189,3600,9088,
ABD,OIAA,Abadan Iran,30.3706,48.2278,12600,10263,KLD
ABA,UNAA,Abakan Russia,53.74,91.385,25200,10648,SUD
YXX,CYXX,Abbotsford BC Canada,49.025,-122.36,-28800,9613,"WS,WSH"
ABR,KABR,Aberdeen SD,45.4489,-98.4217,-21600,6893,"DL,NCA"
ABZ,EGPD,Aberdeen United Kingdom,57.2042,-2.1978,0,6404,"AF,KL,VS"
AHB,OEAB,Abha Saudi Arabia,18.2403,42.6564,10800,11006,SV
ABJ,DIAP,Abidjan Cote D'Ivoire,5.2592,-3.9264,0,9896,"AF,KLD,ME,PAH"
VJI,KVJI,Abingdon VA,36.6869,-82.0331,0,4569,
AUH,OMAA,Abu Dhabi United Arab Emirates,24.4325,54.65,14400,13475,"AZ,KLD,KL,ME,SV"
ABV,DNAA,Abuja Nigeria,9.0067,7.2631,3600,11848,"AF,DVH"
AEH,FTTC,Abéché Chad,13.8469,20.8489,3600,9236,
ACA,MMAA,Acapulco Mexico,16.7564,-99.7531,-21600,10833,"AM,DVH,WAH"
ACC,DGAA,Accra Ghana,5.605,-0.1667,0,11391,"DL,KLD,KL,ME,PAH"
ADK,PADK,Adak AK,51.8781,-176.646,-36000,7775,
ADA,LTAF,Adana Turkey,36.9819,35.28,10800,8985,
ADD,HAAB,Addis Ababa Ethiopia,8.9772,38.7992,10800,12428,"KQD,KQ,SV"
ADL,YPAD,Adelaide Australia,-34.9442,138.5308,37800,10183,"VA,VAH"
ADE,OYAA,Aden Yemen,12.8292,45.03,10800,10141,
AZR,DAUA,Adrar Algeria,27.8392,-0.1853,3600,9856,
AJY,DRZA,Agades Niger,16.9631,7.9917,3600,9853,
AGA,GMAD,Agadir Morocco,30.3225,-9.4114,0,10516,
AGF,LFBA,Agen France,44.1747,0.5906,3600,7095,
BQN,TJBQ,Aguadilla PR,18.4942,-67.1289,-18000,11732,DVH
AGU,MMAS,Aguascalientes Mexico,21.7053,-102.318,-21600,9918,"AM,NW"
AHE,NTHE,Ahe French Polynesia,-14.4275,-146.255,-39600,4068,
AMD,VAAH,Ahemdabad India,23.0708,72.6264,19800,11547,JAD
AEO,GQNA,Aioun El Atrouss Mauritania,16.7111,-9.6378,0,2500,
AJA,LFKJ,Ajaccio France,41.9233,8.8028,3600,7905,AF
AKE,FOGA,Akieni Gabon,-1.1292,13.9206,3600,2500,
AXT,RJSK,Akita Japan,39.6156,140.219,32400,8200,KE
AJJ,GQNJ,Akjoujt Mauritania,19.7328,-14.3831,0,2500,
CAK,KCAK,Akron OH,40.9164,-81.4422,-18000,8217,"DL,DVH"
AKT,LCRA,Akrotiri Cyprus,34.5903,32.9875,7200,8996,
AKU,ZWAK,Aksu Xinjiang Uyghur China,41.2625,80.2917,28800,2500,
SCO,UATE,Aktau Kazakhstan,43.86,51.0906,18000,8704,
AKX,UATT,Aktobe Kazakhstan,50.2456,57.2064,18000,10170,
ABT,OEBA,Al Baha Saudi Arabia,20.2958,41.6342,10800,10984,SV
AJF,OESK,Al Jouf Saudi Arabia,29.7853,40.0994,10800,12002,SV
NJF,ORNI,Al Najaf Iraq,32.0064,44.3847,10800,9843,ME
AQI,OEPA,Al Qaisumah Saudi Arabia,28.3353,46.125,10800,9866,SV
K11,OTBH,Al Udeid AB Qatar,25.1169,51.3147,10800,12336,
HOF,OEAH,Al-Ahsa Saudi Arabia,25.2861,49.4861,10800,10070,
DWD,OEDM,Al-Dawadmi Saudi Arabia,24.4497,44.1211,10800,10031,
ULH,OEAO,Al-Ula Saudi Arabia,26.4831,38.1167,10800,10007,
ABY,KABY,Albany GA,31.5356,-84.1944,-18000,6612,DL
ALB,KALB,Albany NY,42.7475,-73.8028,-18000,8516,"DL,DVH,NW"
ABQ,KABQ,Albuquerque NM,35.04,-106.609,-25200,13774,"AM,DL,DVH,NW,WAH"
ABX,YMAY,Albury Australia,-36.0678,146.958,39600,6229,VA
YLT,CYLT,Alert Canada,82.5178,-62.2806,-14400,5525,
HBE,HEBA,Alexandria Al Iskandariyah Egypt,30.9178,29.6964,7200,11173,"SV,SVD"
ALY,HEAX,Alexandria Egypt,31.1839,29.9486,7200,7225,KLD
HEB,HEBA,Alexandria Egypt,30.9181,29.6953,7200,11173,
AEX,KAEX,Alexandria LA,31.3272,-92.5483,-21600,9372,"DL,DVH,NW"
ESF,KESF,Alexandria-Regional LA,31.3942,-92.2953,-21600,5993,"DVH,NW"
AXD,LGAL,Alexandroupolis Greece,40.8558,25.9558,7200,8519,
AHO,LIEA,Alghero Sassari Italy,40.6303,8.2878,3600,10199,AZD
ALG,DAAG,Algiers Algeria,36.6906,3.2139,3600,11502,"AF,AZD,SV,SVD"
ALC,LEAL,Alicante Spain,38.2811,-0.5581,3600,10292,"SUD,HVD"
ASP,YBAS,Alice Springs Australia,-23.8067,133.902,34200,8003,
IXD,VIAL,Allahabad India,25.4406,81.735,19800,2500,KLD
ABE,KABE,Allentown PA,40.6517,-75.44,-18000,7600,"DL,DVH,NW,PAH"
AIA,KAIA,Alliance NE,42.0531,-102.804,-25200,9195,WAH
ALA,UAAA,Almaty Kazakhstan,43.3517,77.0403,18000,14438,"SUD,KL"
LEI,LEAM,Almería Spain,36.8439,-2.37,3600,10494,
APN,KAPN,Alpena MI,45.0781,-83.5603,-18000,9015,"DL,DVH,NCA,NW"
AHM,FSAL,Alphonse Island Seychelles,-7.0081,52.7289,14400,2500,
ALF,ENAT,Alta Norway,69.9756,23.3714,3600,7479,
ASJ,RJKA,Amami Oshima Japan,28.4306,129.712,32400,6575,
AMA,KAMA,Amarillo TX,35.2186,-101.706,-21600,13524,"DVH,NW"
IVA,FMNJ,Ambanja Madagascar,-13.6503,48.4733,10800,2500,
WAM,FMMZ,Ambatondrazaka Madagascar,-17.8044,48.4414,10800,2500,
AMB,FMNE,Ambilobe Madagascar,-13.1831,48.9833,10800,2500,
AMQ,WAPP,Ambon Indonesia,-3.7067,128.0889,32400,8238,"DVH,KLD"
AMM,OJAI,Amman Jordan,31.7214,35.9931,7200,11999,"AF,DVH,KLD,ME,SV,SVD"
AMP,FMSY,Ampanihy Madagascar,-24.7,44.7333,10800,3609,
AMS,EHAM,Amsterdam Netherlands,52.3081,4.7628,3600,12468,"AF,AZ,OK,DL,DVH,KQD,KQ,KLD,KL,NW,PAH,ROH,HV,HVD"
AAA,NTGA,Anaa French Polynesia,-17.3547,-145.483,-39600,4921,
HVA,FMNL,Analalava Madagascar,-14.6344,47.7725,10800,3937,
AAQ,URKA,Anapa Russia,45.0019,37.3467,10800,8260,SUD
APS,SWNS,Anapolis Brazil,-16.3622,-48.9269,-7200,8800,
ANC,PANC,Anchorage AK,61.1742,-149.996,-32400,12366,"AS,DL,DVH,KLD,NW,WAH"
AOI,LIPY,Ancona Italy,43.6164,13.3619,3600,9811,
SDN,ENSD,Anda Sandane Norway,61.8297,6.1056,3600,2741,
ZWA,FMND,Andapa Madagascar,-14.6497,49.6167,10800,4101,
UAM,PGUA,Andersen AFB Guam,13.5839,144.93,36000,11218,
ANX,ENAN,Andoya Norway,69.2925,16.1442,3600,8067,
ADW,KADW,Andrews AFB MD,38.8106,-76.8667,-18000,9781,
CRK,RPLC,Angeles City Philippines,15.1858,120.56,28800,10575,
AXA,TQPF,Anguilla British Virgin Islands,18.2047,-63.0536,-14400,5460,SBS
AJM,FMCV,Anjouan Comoros,-12.1331,44.4331,10800,4362,
ESB,LTAC,Ankara Turkey,40.1281,32.9942,7200,12331,SVD
JVA,FMMK,Ankavandra Madagascar,-18.8,45.2833,10800,3281,
WAK,FMSZ,Ankazoabo Madagascar,-22.3044,44.5397,10800,2500,
AAE,DABB,Annaba Algeria,36.8219,7.8094,3600,9815,
NCY,LFLP,Annecy France,45.9292,6.0986,3600,5289,
AYT,LTAI,Antalya Turkey,36.9,30.7928,7200,11223,SUD
TNR,FMMI,Antananarivo Madagascar,-18.7967,47.4778,10800,10174,AF
ANF,SCFA,Antofagasta Chile,-23.4442,-70.4444,-10800,8611,PAH
WAQ,FMMG,Antsalova Madagascar,-18.7053,44.6244,10800,3018,
ANM,FMNH,Antsirabato Madagascar,-14.9992,50.32,10800,3914,
WAI,FMNW,Antsohihy Madagascar,-14.9106,47.9936,10800,2500,
ANR,EBAW,Antwerp Belgium,51.1892,4.46,3600,5392,KLD
AOJ,RJSA,Aomori Japan,40.7347,140.691,32400,9851,KE
APW,NSFA,Apia Samoa,-13.8292,-171.997,-39600,10369,VA
ATW,KATW,Appleton WI,44.2567,-88.5192,-21600,8015,"DL,DVH,NCA,NW"
AQJ,OJAQ,Aqaba Jordan,29.6114,35.0181,7200,9878,
AJU,SBAR,Aracaju Brazil,-10.9839,-37.0703,-7200,9152,GLO
ARW,LRAR,Arad Romania,46.1767,21.2617,7200,6546,
RAE,OERR,Arar Saudi Arabia,30.9067,41.1381,10800,9999,SV
AQP,SPQU,Arequipa Peru,-16.3406,-71.5706,-18000,9776,
XAR,DFOY,Aribinda Burkina Faso,14.2269,-0.8872,0,2500,
WZA,FMMA,Arivonimamo Madagascar,-19.0289,47.1719,10800,2500,
ARH,ULAA,Arkhangelsk Russia,64.6003,40.7167,10800,8196,SUD
DIE,FMNA,Arrachart Madagascar,-12.3508,49.2942,10800,4968,
AUA,TNCA,Aruba Netherland Antilles,12.5011,-70.0142,-14400,9017,"DL,DVH,KLD,KL,NW,WSH"
AXR,NTGU,Arutua French Polynesia,-15.2464,-146.62,-39600,4265,
AJR,ESNX,Arvidsjaur Sweden,65.5903,19.2817,3600,8369,
AKJ,RJEC,Asahikawa Japan,43.6703,142.4469,32400,8211,MUD
ASI,FHAW,Ascension Island St Helena,-7.9692,-14.3933,0,10010,PAH
AVL,KAVL,Asheville NC,35.4358,-82.5417,-18000,8021,"DL,DVH"
ASB,UTAA,Ashgabat Turkmenistan,37.9914,58.3631,18000,12488,
ASM,HHAS,Asmara Eritrea,15.2842,38.9006,10800,9843,
ASE,KASE,Aspen CO,39.2231,-106.869,-25200,8010,"DL,DVH,NW"
TSE,UACC,Astana Kazakhstan,51.0219,71.4658,21600,11466,SUD
AST,KAST,Astoria OR,46.1575,-123.878,-28800,5796,RW
ASF,URWA,Astrakhan Russia,46.2828,48.0064,7200,8500,SUD
OVD,LEAS,Asturias Spain,43.5631,-6.0342,3600,7228,
ASU,SGAS,Asuncion Paraguay,-25.2403,-57.5164,-10800,11058,"AR,GLO"
ATR,GQPA,Atar Mauritania,20.5003,-13.0467,0,9868,
ATH,LGAV,Athens Greece,37.935,23.9439,7200,13141,"SUD,AF,AZ,DVH,KQD,KLD,KL,ME"
ATX,LGAT,Athens Hellenikon Greece,37.8936,23.7439,7200,2500,
ATV,FTTI,Ati Chad,13.2333,18.3167,3600,2500,
ATL,KATL,Atlanta GA,33.6403,-84.4267,-18000,11876,"AF,AS,DL,DVH,KL,KE,NA,NW,VS"
ACY,KACY,Atlantic City NJ,39.4575,-74.5767,-18000,9993,"DVH,NW"
AUQ,NAUQ,Atuona French Polynesia,-9.7689,-139.011,-39600,2500,
GUW,UATG,Atyrau Kazakhstan,47.1214,51.8208,18000,7736,
LEW,KLEW,Auburn/Lewiston ME,44.0483,-70.2833,-18000,5006,NEH
AKL,NZAA,Auckland New Zealand,-37.0081,174.7919,46800,12094,"MUD,PAH,VA"
AGS,KAGS,Augusta GA,33.37,-81.9645,-18000,8027,"DL,DVH"
AUG,KAUG,Augusta ME,44.3206,-69.7972,-18000,5008,NEH
AUR,LFLW,Aurillac France,44.8975,2.4167,3600,5574,
AUS,KAUS,Austin TX,30.1942,-97.6694,-21600,12297,"AMH,AS,DL,DVH,NW"
AVX,KAVX,Avalon CA,33.4047,-118.4156,-28800,3001,RW
AVB,LIPA,Aviano AB Italy,46.03,12.5975,3600,9819,
AVN,LFMV,Avignon France,43.9072,4.9017,3600,6188,
AYQ,YAYE,Ayers Rock Australia,-25.1856,130.975,34200,8548,"VA,VAH"
BCM,LRBC,Bacau Romania,46.5217,26.9103,7200,8160,
BGW,ORBI,Baghdad Iraq,33.2625,44.2339,10800,13140,"KLD,ME"
BPM,OAIX,Bagram AB Afghanistan,34.9456,69.2642,16200,9852,
BAH,OBBI,Bahrain International Bahrain,26.27,50.6331,10800,12982,"KLD,KL,PAH,SVD"
BHI,SAZB,Bahía Blanca Argentina,-38.7244,-62.1689,-10800,8625,AR
BAY,LRBM,Baia Mare Romania,47.6578,23.4656,7200,5900,ROH
NBS,ZYBS,Baishan China,42.0817,127.604,28800,2500,
BKE,KBKE,Baker City OR,44.8372,-117.809,-28800,5095,RW
BFL,KBFL,Bakersfield CA,35.4331,-119.057,-28800,10873,"RW,DVH"
GYD,UBBB,Baku Azerbaijan,40.4669,50.0464,14400,13146,SU
DPS,WADD,Bali Intl. Denpasar Bali Indonesia,-8.7467,115.169,28800,9964,"CI,KLD,KL,PAH,VA"
BPN,WALL,Balikpapan Sepinggan Indonesia,-1.2681,116.8939,28800,8208,KLD
BNK,YBNA,Ballina Australia,-28.8339,153.562,39600,6224,VA
BZY,LUBL,Balti Moldova,47.8381,27.7814,7200,7358,
BWI,KBWI,Baltimore MD,39.175,-76.6678,-18000,10489,"ASH,DL,DVH,NEH,NW,PAH"
BKO,GABS,Bamako Mali,12.5328,-7.9492,0,10522,AF
BBY,FEFM,Bambari Central African Republic,5.8469,20.6475,3600,2500,
BTJ,WITT,Banda Aceh Indonesia,5.5236,95.4203,25200,8241,
TKG,WIIT,Bandar Lampug Indonesia,-5.2422,105.18,25200,2500,
BWN,WBSB,Bandar Seri Begwan Brunei Darussalam,4.9442,114.9278,28800,12052,
BDO,WICC,Bandung Sastranegara Indonesia,-6.9017,107.576,25200,6491,KLD
HAL,VOBG,Bangalore-Hal India,12.9519,77.6644,0,10997,
BLR,VOBL,Bangalore-Kempegowda India,13.1853,77.7003,19800,13111,"AF,JAD,SV,SVD"
BGU,FEFG,Bangassou Central African Republic,4.7933,22.7961,3600,5906,
BPX,ZUBD,Bangda Qamdo Tibet China,30.5536,97.1083,28800,2500,
DMK,VTBD,Bangkok-Don Mueang Thailand,13.9139,100.605,25200,12185,"DVH,KLD,PAH"
BKK,VTBS,Bangkok-Suvarnabhumi Thailand,13.6803,100.7469,25200,13190,"SUD,AF,CID,MUD,DL,KL,KE,KEH,SV,VND,VN"
BGR,KBGR,Bangor ME,44.8069,-68.8281,-18000,11438,"DL,DVH,NEH"
BGF,FEFF,Bangui Central African Republic,4.3978,18.5178,3600,8570,AF
BDJ,WAOO,Banjarmarsin Indonesia,-3.4414,114.762,28800,8206,KLD
BJL,GBYD,Banjul Gambia,13.3419,-16.6578,0,11796,
BWX,WADY,Banyuwangi Indonesia,-8.31,114.34,25200,5894,
BSD,ZPBS,Baoshan China,25.1497,99.15,28800,2500,
BAV,ZBOW,Baotou China,40.5597,109.996,28800,9186,
BHB,KBHB,Bar Harbor ME,44.4497,-68.3617,-18000,5209,NEH
BCN,LEBL,Barcelona Spain,41.2964,2.0781,3600,11646,"SUD,UX,AF,AZ,DL,DVH,KLD,KL,PAH"
BDU,ENDU,Bardufoss Norway,69.0556,18.5403,3600,7991,
BRI,LIBD,Bari Italy,41.1381,16.7606,3600,9845,"AZ,AZD,HVD"
BAX,UNBB,Barnaul Russia,53.3631,83.5392,21600,9339,SUD
BRM,SVBM,Barquisimeto Venezuela,10.0456,-69.3564,-14400,10933,
BRR,EGPR,Barra United Kingdom,57.0233,-7.4417,0,4916,
BAQ,SKBQ,Barranquilla Colombia,10.8931,-74.7831,-18000,9895,"KLD,PAH"
BRW,PABR,Barrow AK,71.2853,-156.766,-32400,6893,DVH
BSL,LFSB,Basel Switzerland,47.5831,7.5331,3600,12817,"AF,KLD,KL"
BSR,ORMM,Basra Iraq,30.5489,47.6617,10800,13136,"KLD,ME"
SKB,TKPK,Basseterre St Kitts and Nevis,17.3089,-62.7181,-14400,7625,"DL,DVH,KLD,SBS"
BIA,LFKB,Bastia France,42.5539,9.4831,3600,8279,AF
BSG,FGBT,Bata Equatorial Guinea,1.9019,9.8028,0,6577,
---,WIKB,Batam Indonesia,10.1206,104.1186,25200,2500,
BTH,WIDD,Batam-Hang Nadim Indonesia,1.1203,104.1186,25200,13247,
BLJ,DABT,Batna Algeria,35.7592,6.32,3600,9316,
BTR,KBTR,Baton Rouge LA,30.5331,-91.1494,-21600,7383,"DL,DVH,NW"
OUR,FKKI,Batouri Cameroon,4.4669,14.3669,3600,6281,
BUW,WAWB,Bau Bau Indonesia,-5.4867,122.569,28800,5906,
BPT,KBPT,Beaumont TX,29.9508,-94.0206,-21600,6750,DVH
CBH,DAOR,Bechar Algeria,31.6458,-2.2783,3600,12245,
WBD,FMNF,Befandriana Madagascar,-15.2081,48.4858,10800,2500,
BHY,ZGBH,Beihai China,21.5392,109.2939,28800,2500,DVH
PEK,ZBAA,Beijing China,40.0781,116.5828,28800,12503,"SUD,AF,AZD,CID,MU,MUD,CZ,DL,DVH,KL,KEH,NW,VND,VN"
BEW,FQBR,Beira Mozambique,-19.7961,34.9075,7200,7857,
BEY,OLBA,Beirut Lebanon,33.8067,35.4867,7200,12545,"SUD,AF,KLD,ME,PAH,SV"
OVA,FMSL,Bekily Madagascar,-24.2333,45.3,10800,4199,
BEL,SBBE,Belem Brazil,-1.3842,-48.4789,-10800,9244,"GLO,PAH"
BFS,EGAA,Belfast-Aldergrove United Kingdom,54.6572,-6.2156,0,9133,VSD
BHD,EGAC,Belfast-City United Kingdom,54.6181,-5.8725,0,5995,
BEG,LYBE,Belgrade Serbia,44.8178,20.3089,3600,11144,"SUD,AZD,PAH"
BZE,MZBZ,Belize City Belize,17.5389,-88.3078,-21600,9703,"DL,DVH,NW"
BLI,KBLI,Bellingham WA,48.7917,-122.537,-28800,6760,"AS,DVH,NW"
CNF,SBCF,Belo Horizonte Brazil,-19.6244,-43.9717,-7200,9879,"AR,GLO"
BMD,FMML,Belo Madagascar,-19.6833,44.5333,10800,2500,
BJI,KBJI,Bemidji MN,47.5092,-94.9333,-21600,7015,"DL,NCA"
BEN,HLLB,Benghazi Libya,32.0967,20.27,7200,11823,KLD
BKS,WIPL,Bengkulu Indonesia,-3.8636,102.339,25200,2500,
BEH,KBEH,Benton Harbor MI,42.1283,-86.4247,-18000,5995,NCA
BBT,FEFT,Berbérati Central African Republic,4.2258,15.7856,3600,5474,
BGO,ENBR,Bergen Norway,60.2931,5.2181,0,9789,"KL,PAH"
EGC,LFBE,Bergerac France,44.8244,0.5206,3600,7224,
BVG,ENBV,Berlevåg Finnmark Norway,70.8714,29.0339,3600,3009,
BML,KBML,Berlin NH,44.5753,-71.1758,-18000,5209,NEH
BER,EDDX,Berlin-Brandenburg Germany,52.3781,13.5203,3600,2500,
SXF,EDDB,Berlin-Schönefeld Germany,52.3781,13.5203,3600,13093,"SUD,AF"
TXL,EDDT,Berlin-Tegel Germany,52.5581,13.2867,3600,9934,"AF,AZD,DVH,KL,PAH"
THF,EDDI,Berlin-Tempelhof Germany,52.4731,13.4014,3600,2500,
BRN,LSZB,Bern Switzerland,46.9106,7.4964,3600,5681,KLD
WBO,FMSB,Beroroha Madagascar,-21.6061,45.1333,10800,3117,
BPY,FMNQ,Besalampy Madagascar,-16.7533,44.4842,10800,4921,
BET,PABE,Bethel AK,60.7794,-161.838,-32400,6391,DVH
BZR,LFMU,Beziers France,43.3231,3.3531,3600,5961,VSD
BWA,VNBW,Bhairawa Nepal,27.5,83.4167,20700,4996,
BIK,WABB,Biak Indonesia,-1.19,136.107,32400,11729,KLD
BIQ,LFBZ,Biarritz France,43.4683,-1.5231,3600,7370,AF
37A,PABM,Big Mountain AK,59.3611,-155.259,-32400,4199,WAH
BIO,LEBB,Bilbao Spain,43.3006,-2.9106,3600,8544,"UX,AF,KL"
BIL,KBIL,Billings MT,45.8067,-108.5428,-25200,10898,"AS,ASH,DL,DVH,NPA,NW,WAH"
BLL,EKBI,Billund Denmark,55.7403,9.1517,3600,10152,"AF,KLD,KL"
BMU,WADB,Bima Indonesia,-8.5392,118.6867,28800,5421,
BGM,KBGM,Binghamton NY,42.2081,-75.9792,-18000,7583,"DL,DVH"
GHR,GQPT,Bir Moghrein Mauritania,25.2367,-11.5886,0,7475,
BDI,FSSB,Bird Island Seychelles,-3.7214,55.2086,14400,2500,
BHM,KBHM,Birmingham AL,33.5629,-86.7535,-21600,12027,"DL,DVH,NW"
BHX,EGBB,Birmingham United Kingdom,52.4531,-1.7478,0,9747,"AF,KL"
BHH,OEBH,Bisha Saudi Arabia,19.9842,42.6228,10800,10045,"SV,SVD"
BSK,DAUB,Biskra Algeria,34.8017,5.7417,3600,9469,
BIS,KBIS,Bismarck ND,46.7719,-100.7458,-21600,8791,"DL,NCA,NW"
OXB,GGOV,Bissau Guinea-Bissau,11.8883,-15.6556,0,10546,
BMM,FOOB,Bitam Gabon,2.0831,11.4831,3600,4921,
BCB,KBCB,Blacksburg VA,37.2075,-80.4075,-18000,4688,
BQS,UHBB,Blagoveshchensk Russia,50.4256,127.412,32400,9319,
BLZ,FWCL,Blantyre Malawi,-15.6794,34.9672,7200,7647,"KQD,KQ"
BFN,FABL,Bloemfontein South Africa,-29.0933,26.3036,7200,8443,
4K6,K4K6,Bloomfield IA,40.7322,-92.4283,-21600,3402,
BMI,KBMI,Bloomington IL,40.4778,-88.9156,-21600,8015,DL
BMG,KBMG,Bloomington IN,39.1456,-86.6167,-18000,6517,
BLH,KBLH,Blythe CA,33.6192,-114.717,-28800,6870,RW
BOY,DFOO,Bobo Dioulasso Burkina Faso,11.1675,-4.3208,0,10924,
BJV,LTFE,Bodrum Turkey,37.2506,27.6642,7200,9871,
BFI,KBFI,Boeing Field WA,47.5244,-122.303,-28800,10004,RW
XBG,DFEB,Bogande Burkina Faso,12.9925,-0.1728,0,2500,
BGH,GQNE,Boghe-Abbaye Mauritania,16.6386,-14.2028,0,3117,
BOG,SKBO,Bogota Colombia,4.7003,-74.1467,-18000,12503,"AM,DL,KLD"
BOI,KBOI,Boise ID,43.5642,-116.2228,-25200,9987,"RW,AS,ASH,DL,NW"
BKJ,GUOK,Boke Guinea,10.96,-14.3114,0,5102,
BLQ,LIPE,Bologna Italy,44.5342,11.2897,3600,9179,"SUD,AF,AZ,KL"
BON,TNCB,Bonaire Netherland Antilles,12.1303,-68.2681,-14400,10026,KL
OGR,FTTB,Bongor Chad,10.2881,15.3811,3600,5249,
TRW,NGTA,Bonriki Kiribati,1.3781,173.149,46800,6320,
BGB,FOGB,Booue Gabon,-0.1056,11.955,3600,3609,
BOB,NTTB,Bora Bora French Polynesia,-16.4431,-151.752,-39600,4944,
BOD,LFBD,Bordeaux France,44.8281,-0.7153,3600,10182,"AF,KL"
BOS,KBOS,Boston MA,42.3631,-71.0039,-18000,10087,"AF,AS,DL,DVH,KLD,NEH,NW,PAH,VS,WAH,WSH"
BYK,DIBK,Bouake Cote D'Ivoire,7.7525,-5.0678,0,10872,
BOP,FEFO,Bouar Central African Republic,5.9667,15.6333,3600,6234,
BOH,EGHH,Bournemouth United Kingdom,50.7797,-1.8422,0,7624,
OTL,GQNB,Boutilimit Mauritania,17.5389,-14.7231,0,2500,
BZN,KBZN,Bozeman MT,45.7767,-111.153,-25200,9008,"AS,DL,DVH,NW"
BRD,KBRD,Brainerd MN,46.3981,-94.1381,-21600,7162,"DL,NCA"
YBR,CYBR,Brandon Manitoba Canada,49.9097,-99.9522,-21600,6495,WSH
BKG,KBBG,Branson MO,36.5319,-93.2003,-21600,7152,
BSB,SBBR,Brasilia Brazil,-15.8625,-47.9119,-7200,10846,"AF,DL,GLO,PAH"
BTS,LZIB,Bratislava Slovakia,48.1697,17.2119,3600,10451,OK
BZV,FCBB,Brazzaville Congo,-4.2514,15.2528,3600,10871,"AF,KQD,KQ,KLD"
BRE,EDDW,Bremen Germany,53.0469,8.7867,3600,8334,"AF,KL"
VBS,LIPO,Brescia Italy,45.4289,10.3306,3600,9802,
BES,LFRB,Brest France,48.4478,-4.4183,3600,10165,AF
BGI,TBPB,Bridgetown Barbados,13.0728,-59.4867,-14400,11933,"DL,PAH,VSD"
BDS,LIBR,Brindisi Italy,40.6519,17.9469,3600,10012,AZ
BNE,YBBN,Brisbane Australia,-27.3842,153.1167,36000,11813,"CID,DVH,KLD,VA"
BRS,EGGD,Bristol United Kingdom,51.3819,-2.7189,0,6603,"KLD,KL,VSD"
TRI,KTRI,Bristol-Tri Cities TN/VA,36.4747,-82.4075,-18000,8008,"DL,DVH,NW"
BVE,LFBV,Brive-La-Gaillarde France,45.1494,1.4744,3600,2500,
BRQ,LKTB,Brno Czech Republic,49.1511,16.6942,3600,8680,
BKX,KBKX,Brookings SD,44.3042,-96.8189,-21600,5226,"NCA,WAH"
BME,YBRM,Broome Australia,-17.9492,122.228,28800,8064,VA
BRO,KBRO,Brownsville TX,25.9064,-97.4253,-21600,7410,"NW,PAH"
BQK,KBQK,Brunswick GA,31.2592,-81.4664,-18000,8000,"DL,DVH"
BRU,EBBR,Brussels Belgium,50.9017,4.4978,3600,11977,"SUD,AZ,OK,DL,DVH,KLD,KL,ME,NW,PAH"
BNN,ENBN,Brønnøysund Norway,65.4608,12.2172,3600,3924,
BGA,SKBG,Bucaramanga Colombia,7.1258,-73.1842,-18000,7445,
BBU,LRBS,Bucharest-Aurel Vlaicu Romania,44.5033,26.1033,7200,10468,
OTP,LROP,Bucharest-Henri Coanda Romania,44.5722,26.1031,7200,11462,"SUD,AF,AZ,OK,DVH,KL,PAH,ROH"
BUD,LHBP,Budapest Hungary,47.4367,19.2556,3600,12183,"SUD,AF,AZ,OK,DVH,KLD,KL"
EZE,SAEZ,Buenos Aires-Ezeiza Intl Argentina,-34.8219,-58.5281,-10800,10801,"AR,AM,AF,DL,DVH,KLD,KL,PAH"
AEP,SABE,Buenos Aires-Jorge Newbery Argentina,-34.5586,-58.4153,-10800,6876,AR
BUF,KBUF,Buffalo NY,42.9406,-78.7314,-18000,8667,"DL,DVH,NW"
BJM,HBBA,Bujumbura Burundi,-3.3178,29.3169,7200,11869,"KQD,KQ"
BHK,UTSB,Bukhara Uzbekistan,39.7747,64.4831,18000,9901,
BDB,YBUD,Bundaberg Australia,-24.9039,152.318,39600,5358,VA
BMV,VVBM,Buon Me Thuot Vietnam,12.6683,108.12,25200,9843,VN
BUR,KBUR,Burbank CA,34.2003,-118.359,-28800,6895,"RW,AS,DL,NW"
BOJ,LBBG,Burgas Bulgaria,42.5703,27.5153,7200,10509,
BYI,KBYI,Burley ID,42.5422,-113.771,-25200,4092,RW
BTV,KBTV,Burlington VT,44.4728,-73.1503,-18000,8317,"DL,DVH,NEH"
YDB,CYDB,Burwash Landing YT Canada,61.3706,-139.039,-28800,5103,WAH
BUZ,OIBB,Bushehr Iran,28.9492,50.83,12600,14678,
BTM,KBTM,Butte MT,45.9542,-112.4969,-25200,9009,"DL,NPA,NW"
BZG,EPBY,Bydgoszcz Poland,53.0967,17.9444,3600,8185,
BJF,ENBS,Båtsfjord Norway,70.6003,29.6922,3600,3270,
CAH,VVCM,Ca Mau Vietnam,9.1881,105.175,25200,4919,VN
CFR,LFRK,Caen France,49.1733,-0.45,3600,6243,
CAG,LIEE,Cagliari Italy,39.2514,9.0542,3600,9215,AZD
