IATA,ICAO,Name,Latitude,Longitude,UTC Offset (s),Max Runway Length (ft),Airlines
EIS,TUPJ,Tortola British Virgin Islands,18.4453,-64.5414,-14400,4644,SBS
GMR,NTGJ,Totegegie French Polynesia,-23.0831,-134.883,-36000,6562,
TUQ,DFOT,Tougan Burkina Faso,13.0769,-3.0711,0,2500,
TGR,DAUK,Touggourt Algeria,33.06,6.0869,3600,9829,
TOU,NWWU,Touho New Caledonia,-20.79,165.259,39600,3622,
TLN,LFTH,Toulon France,43.0972,6.1458,3600,6957,AF
TLS,LFBO,Toulouse France,43.6289,1.3631,3600,11481,"AF,KL"
TUF,LFOT,Tours France,47.4319,0.7231,3600,7884,
TSV,YBTL,Townsville Australia,-19.2525,146.765,36000,8027,VA
TOY,RJNT,Toyama Japan,36.6481,137.1875,32400,6580,
TZX,LTCG,Trabzon Turkey,40.9956,39.7853,7200,8616,
TPS,LICT,Trapani Italy,37.9114,12.4881,3600,8864,
TDX,VTBO,Trat Thailand,12.275,102.32,25200,5899,
TVC,KTVC,Traverse City MI,44.7414,-85.5817,-18000,6887,"DL,DVH,NCA,NW"
SUU,KSUU,Travis AFB Fairfield CA,38.2625,-121.927,-28800,10999,
REL,SAVT,Trelew Argentina,-43.2106,-65.2703,-10800,8388,AR
TTN,KTTN,Trenton NJ,40.2767,-74.8131,-18000,6008,DVH
TSF,LIPH,Treviso Italy,45.6483,12.1944,3600,8087,
TRS,LIPQ,Trieste Italy,45.8278,13.4664,3600,9832,AZ
TRR,VCCT,Trincomalee Sri Lanka,8.5397,81.1678,19800,7864,
TDD,SLTR,Trinidad Bolivia,-14.8194,-64.9189,-18000,7888,PAH
TIP,HLLT,Tripoli Libya,32.6622,13.1581,7200,11745,"KLD,PAH"
TRV,VOTV,Trivandrum India,8.4792,76.92,19800,11171,
TOS,ENTC,Tromso Norway,69.6814,18.9178,3600,7821,
TRD,ENVA,Trondheim Norway,63.4575,10.9394,3600,9030,KL
TTS,FMNT,Tsaratanana Madagascar,-16.75,47.6167,10800,2500,
WTS,FMMX,Tsiroanomanididy Madagascar,-18.7564,46.0575,10800,2500,
TUB,NTAT,Tubuai French Polynesia,-23.3653,-149.524,-39600,4921,
TUS,KTUS,Tucson AZ,32.1156,-110.941,-25200,11008,"RW,AS,DL,DVH,NW"
TUC,SANT,Tucumán Argentina,-26.8403,-65.1044,-10800,9551,AR
TCE,LRTC,Tulcea Romania,45.0628,28.7142,7200,6572,
TUL,KTUL,Tulsa OK,36.1981,-95.8881,-21600,10014,"DL,DVH,NW,WAH"
TUN,DTTA,Tunis Tunisia,36.8492,10.2264,3600,10473,"AF,KLD,SV"
TUP,KTUP,Tupelo MS,34.2681,-88.7692,-21600,7162,DVH
TUI,OETR,Turaif Saudi Arabia,31.6928,38.7308,10800,9836,SV
ZTA,NTGY,Tureia French Polynesia,-20.7706,-138.569,-39600,3466,
TRN,LIMF,Turin Italy,45.2006,7.6492,3600,10847,"AF,AZ,KL,HVD"
KRW,UTAK,Turkmanbashi Turkmenistan,40.0631,53.0067,18000,8215,
TKU,EFTU,Turku Finland,60.5142,22.2628,7200,8181,
TGZ,MMTG,Tuxtla Gutierrez Mexico,16.5617,-93.0256,-21600,8218,AM
ENS,EHTW,Twente Netherlands,52.27,6.8742,3600,9488,KLD
TWF,KTWF,Twin Falls ID,42.4814,-114.488,-25200,8687,"RW,DL,NW"
TYR,KTYR,Tyler TX,32.3528,-95.4014,-21600,7754,"DVH,NW"
TJM,USTR,Tyumen Russia,57.1892,65.3242,18000,9852,SUD
FTU,FMSD,Tôlanaro Madagascar,-25.0381,46.9558,10800,5906,
UAH,NTMU,Ua Huka French Polynesia,-8.9358,-139.552,-39600,2477,
UAP,NTMP,Ua Pou French Polynesia,-9.3517,-140.078,-39600,2723,
UDI,SBUL,Uberlandia Brazil,-18.8828,-48.2256,-7200,6925,GLO
UTH,VTUD,Udon Thani Thailand,17.3864,102.788,25200,10016,
UFA,UWUU,Ufa Russia,54.5567,55.875,25200,12476,SU
UPG,WAAA,Ujung Pandang Indonesia,-5.0614,119.554,28800,10212,KLD
ULN,ZMUB,Ulaanbaatar Mongolia,47.8422,106.767,28800,10172,"SUD,KE"
USN,RKPU,Ulsan South Korea,35.5931,129.352,32400,6572,
UTN,FAUP,Upington South Africa,-28.4008,21.2594,7200,16128,
WKS,YWKS,Upper Peterson Glacier Antarctica,-66.6906,111.523,28800,10499,
URC,ZWWW,Urumqi China,43.9067,87.4742,28800,11793,"MUD,CZ"
USH,SAWH,Ushuaia Argentina,-54.8431,-68.2953,-7200,9366,AR
VAA,EFVA,Vaasa Finland,63.0453,21.7642,7200,8821,
VDS,ENVD,Vadsø Finnmark Norway,70.0653,29.8444,3600,2868,
EGE,KEGE,Vail/Aspen CO,39.6425,-106.918,-25200,9015,"DL,DVH,NW"
VLD,KVLD,Valdosta GA,30.7825,-83.2767,-18000,8015,DL
VLC,LEVC,Valencia Spain,39.4883,-0.4814,0,10540,"SUD,UX,DVH,HVD"
VLN,SVVA,Valencia Venezuela,10.1492,-67.9225,-14400,10098,
VLL,LEVD,Valladolid Spain,41.7061,-4.8519,3600,9875,
YVR,CYVR,Vancouver BC Canada,49.1942,-123.182,-28800,11962,"AS,DL,DVH,KLD,KL,NW,WS,WSH"
VAI,AYVN,Vanimo Papua New Guinea,-2.6972,141.302,36000,5718,
VRA,MUVR,Varadero Cuba,23.0342,-81.4353,-18000,11502,WSH
VNS,VEBN,Varanasi India,25.4522,82.8594,19800,9006,
VAW,ENSS,Vardø Finnmark Norway,70.3553,31.045,3600,3696,
VAR,LBWN,Varna Bulgaria,43.2317,27.8253,7200,8244,
VAT,FMMY,Vatomandry Madagascar,-19.3833,48.95,10800,2500,
VXO,ESMX,Vaxjo Sweden,56.9292,14.7281,3600,6892,
VCE,LIPZ,Venice Italy,45.505,12.3514,3600,10842,"SUD,AF,AZ,DVH,KL"
VER,MMVR,Veracruz Mexico,19.145,-96.1867,-21600,7902,"AM,NW"
VEL,KVEL,Vernal Regional UT,40.4408,-109.51,-25200,6218,DL
VRN,LIPX,Verona Italy,45.3956,10.8881,3600,10593,"AF,AZ,HVD"
VHY,LFLV,Vichy France,46.1717,3.4042,3600,7224,
YYJ,CYYJ,Victoria BC Canada,48.6467,-123.426,-28800,7000,"AS,WS,WSH"
VFA,FVFA,Victoria Falls Zimbabwe,-18.0942,25.8397,7200,7524,
VCT,KVCT,Victoria TX,28.8525,-96.9178,-21600,9108,NW
VCV,KVCV,Victorville CA,34.5931,-117.379,-28800,15099,DVH
VDM,SAVV,Viedma Argentina,-40.8692,-63.0003,-7200,8366,
VIE,LOWW,Vienna Austria,48.1103,16.5689,3600,11819,"SUD,AF,AZ,DVH,KLD,KL,PAH"
VTE,VLVT,Vientiane Laos,17.9881,102.562,25200,9864,VN
VGO,LEVX,Vigo Spain,42.2317,-8.6267,3600,7934,"UX,AF"
VHM,ESNV,Vilhelmina Sweden,64.5783,16.8394,3600,4909,
VSA,MMVA,Villahermosa Mexico,17.9967,-92.8169,-21600,7251,AM
VNO,EYVI,Vilnius Lithuania,54.6333,25.2853,7200,8244,SUD
MVY,KMVY,Vineyard Haven MA,41.3931,-70.6131,-18000,5508,NEH
VII,VVVH,Vinh City Vietnam,18.7375,105.671,25200,7874,VN
VIJ,TUPW,Virgin Gorda British Virgin Islands,18.4467,-64.4278,-14400,2500,SBS
VIX,SBVT,Vitoria Brazil,-20.2578,-40.2861,-7200,6950,GLO
VVO,UHWW,Vladivostok Russia,43.3981,132.147,36000,11549,SUD
VOH,FMNV,Vohemar Madagascar,-13.3756,50.0028,10800,2500,
VOG,URWW,Volgograd Russia,48.7817,44.3467,10800,9200,"SUD,SU"
VOK,KVOK,Volk Field Camp Douglas WI,43.9389,-90.2533,-21600,8985,
VOL,LGBL,Volos Greece,39.2192,22.7942,7200,9133,
VOZ,UUOO,Voronezh Russia,51.8147,39.2292,10800,7882,
FAE,EKVG,Vágar Faroe Islands,62.0636,-7.2772,0,5887,
BMY,NWWC,Waala Île Art New Caledonia,-19.7206,163.661,39600,1968,
YWK,CYWK,Wabush NF Canada,52.9225,-66.8644,-14400,6008,
ACT,KACT,Waco TX,31.6114,-97.2303,-21600,7119,NW
WHF,HSSW,Wadi Halfa Sudan,21.7539,31.5006,10800,6733,
WAE,OEWD,Wadi al-Dawasir Saudi Arabia,20.5042,45.1989,10800,10003,
WGP,WADW,Waingapu Indonesia,-9.6692,120.3019,28800,2500,
AWK,PWAK,Wake Island,19.2825,166.637,46800,9857,PAH
ALW,KALW,Walla Walla WA,46.0942,-118.288,-28800,7182,"RW,AS"
WLS,NLWW,Wallis Island,-13.2381,-176.199,46800,6560,
WAW,EPWA,Warsaw Poland,52.1656,20.9667,3600,12106,"SUD,AF,OK,DVH,KL,PAH"
IAD,KIAD,Washington-Dulles VA,38.9442,-77.4556,-18000,11533,"SU,AM,AF,DL,DVH,KL,KE,NW,PAH,SV,VS"
DCA,KDCA,Washington-Reagan DC,38.8517,-77.0372,-18000,7187,"AS,DL,DVH,NW,PAH"
WKF,FAWK,Waterkloof AFB South Africa,-25.8275,28.2208,7200,11031,
ALO,KALO,Waterloo IA,42.5569,-92.4003,-21600,8398,NW
ART,KART,Watertown NY,43.9917,-76.0217,-18000,6010,
ATY,KATY,Watertown SD,44.9139,-97.1542,-21600,6895,"NCA,NW"
YQH,CYQH,Watson Lake YT Canada,60.1164,-128.822,-28800,5500,WAH
AUW,KAUW,Wausau WI,44.9258,-89.6267,-21600,8000,NCA
CWA,KCWA,Wausau WI,44.7775,-89.6667,-21600,7635,"DL,NW"
WEH,ZSWH,Weihai China,37.1867,122.223,28800,8530,
EJH,OEWJ,Wejh Saudi Arabia,26.1983,36.4758,10800,10112,SV
WLG,NZWN,Wellington New Zealand,-41.3267,174.805,46800,6762,VA
EAT,KEAT,Wenatchee WA,47.3981,-120.207,-28800,7011,"RW,AS"
TKK,PTKK,Weno Island Micronesia,7.4617,151.843,36000,6218,
WNZ,ZSWZ,Wenzhou China,27.9139,120.865,28800,10499,MU
PBI,KPBI,West Palm Beach FL,26.6831,-80.0956,-18000,9994,"DL,DVH,NW,PAH"
WYS,KWYS,West Yellowstone MT,44.6881,-111.1178,-25200,8405,"DVH,NPA"
HPN,KHPN,White Plains NY,41.0664,-73.7069,-18000,6556,"DL,DVH,NW"
YXY,CYXY,Whitehorse Yukon Canada,60.7092,-135.066,-28800,9481,"DVH,WAH"
SPS,KSPS,Wichita Falls TX,33.9883,-98.4917,-21600,13119,DVH
ICT,KICT,Wichita KS,37.65,-97.4331,-21600,10324,"DL,DVH,NW"
AVP,KAVP,Wilkes-Barre/Scranton PA,41.3381,-75.7242,-18000,7508,"DL,DVH"
ISN,KISN,Williston ND,48.1775,-103.642,-21600,6639,"DL,NW"
ILG,KILG,Wilmington DE,39.6778,-75.6064,-18000,7283,"DVH,NW"
ILM,KILM,Wilmington NC,34.2706,-77.9025,-18000,8023,"DL,DVH"
ILN,KILN,Wilmington OH,39.4275,-83.7919,-18000,10711,
WDH,FYWH,Windhoek Namibia,-22.4706,17.4794,3600,15010,PAH
YQG,CYQG,Windsor ON Canada,42.2758,-82.9553,-18000,8992,WSH
YWG,CYWG,Winnipeg MB Canada,49.9092,-97.2342,-21600,11015,"DL,DVH,NW,WS,WSH"
ONA,KONA,Winona MN,44.0794,-91.7114,-21600,5685,NCA
